reference,source,sentence_raw,construction,verb,dependency,final_input
reviews-185045-0002,naturalistic_data_review,Highly recommended .,6,recommend,advmod root,advmod root [SEP] recommend [SEP] Highly recommended .
reviews-114941-0003,naturalistic_data_review,"They 're our favorite pizza place to order from ... and they 're a local , family owned company !",0,be,cop,"cop [SEP] be [SEP] They 're our favorite pizza place to order from ... and they 're a local , family owned company !"
reviews-365630-0002,naturalistic_data_review,"I would rate Fran pcs an A + because the price was lower than everyone else , i got my computer back the next day , and the professionalism he showed was great .",9,rate,nsubj aux root obj xcomp advcl parataxis conj punct,"nsubj aux root obj xcomp advcl parataxis conj punct [SEP] rate [SEP] I would rate Fran pcs an A + because the price was lower than everyone else , i got my computer back the next day , and the professionalism he showed was great ."
reviews-035899-0003,naturalistic_data_review,The facilities are more than adequate and the staff are just phenomenal .,0,be,cop,cop [SEP] be [SEP] The facilities are more than adequate and the staff are just phenomenal .
reviews-043020-0001,naturalistic_data_review,Quick to take money but not quick to fix a problem !,8,fix,mark advcl obj,mark advcl obj [SEP] fix [SEP] Quick to take money but not quick to fix a problem !
reviews-308088-0002,naturalistic_data_review,"I was looking to bring a customer to their lot to buy a car but the Internet salesperson Last name is Balazick sent me this email "" AND IF IT WAS WORTH MY TIME I WOULD OF BOTHERED ASWERING YOUR QUESTIONS .",1,bring,mark xcomp obj obl advcl,"mark xcomp obj obl advcl [SEP] bring [SEP] I was looking to bring a customer to their lot to buy a car but the Internet salesperson Last name is Balazick sent me this email "" AND IF IT WAS WORTH MY TIME I WOULD OF BOTHERED ASWERING YOUR QUESTIONS ."
reviews-363633-0003,naturalistic_data_review,Staff is super friendly and very attentive .,0,be,cop,cop [SEP] be [SEP] Staff is super friendly and very attentive .
reviews-351561-0015,naturalistic_data_review,"He gives the phone to a girl , she says , I have to have your address , I say , do you deliver to 17th and locust , she says , your exact address , I say 1 - 7 - 0 - 1 Locust , ARe you sure ? she asks ?",8,say,nsubj parataxis punct ccomp,"nsubj parataxis punct ccomp [SEP] say [SEP] He gives the phone to a girl , she says , I have to have your address , I say , do you deliver to 17th and locust , she says , your exact address , I say 1 - 7 - 0 - 1 Locust , ARe you sure ? she asks ?"
reviews-220214-0008,naturalistic_data_review,But then again I was nice to them so that could have been why .,0,be,cop,cop [SEP] be [SEP] But then again I was nice to them so that could have been why .
reviews-274106-0003,naturalistic_data_review,"My sister in law told me about this amazing new crepe place in town , I was so excited I just wanted to go and test it out for my self !",7,go,mark xcomp conj,"mark xcomp conj [SEP] go [SEP] My sister in law told me about this amazing new crepe place in town , I was so excited I just wanted to go and test it out for my self !"
reviews-022461-0005,naturalistic_data_review,I would recommend this shop to anyone looking to get a tattoo .,8,get,mark xcomp obj,mark xcomp obj [SEP] get [SEP] I would recommend this shop to anyone looking to get a tattoo .
reviews-247097-0011,naturalistic_data_review,She talks to you at each appointment .,4,talk,nsubj root obl obl punct,nsubj root obl obl punct [SEP] talk [SEP] She talks to you at each appointment .
reviews-047184-0003,naturalistic_data_review,The new Centre has 4 studios planned and now boasts the largest single dance floor area in Kingston upon Hull .,6,plan,acl,acl [SEP] plan [SEP] The new Centre has 4 studios planned and now boasts the largest single dance floor area in Kingston upon Hull .
reviews-361316-0004,naturalistic_data_review,Once they fixed it they answetred all of my questions with no hesitations and then gave me the best quote ever .,2,give,cc advmod conj iobj obj,cc advmod conj iobj obj [SEP] give [SEP] Once they fixed it they answetred all of my questions with no hesitations and then gave me the best quote ever .
reviews-299148-0002,naturalistic_data_review,So I really felt like this place was extremely outdated especially since the pictures make it look nice and modern .,0,be,cop,cop [SEP] be [SEP] So I really felt like this place was extremely outdated especially since the pictures make it look nice and modern .
reviews-341397-0003,naturalistic_data_review,"the guy came on time and did n't take any breaks , he went straight to work and finished the job efficiently and promptly !",7,come,nsubj root obl conj punct parataxis punct,"nsubj root obl conj punct parataxis punct [SEP] come [SEP] the guy came on time and did n't take any breaks , he went straight to work and finished the job efficiently and promptly !"
reviews-280844-0005,naturalistic_data_review,The down side was that sometimes there was a lot of noise in the hallway from other patients / doctors .,3,be,mark advmod expl ccomp nsubj,mark advmod expl ccomp nsubj [SEP] be [SEP] The down side was that sometimes there was a lot of noise in the hallway from other patients / doctors .
reviews-160073-0023,naturalistic_data_review,and we do n't know them except for eating there .,8,know,cc nsubj aux advmod root obj obl punct,cc nsubj aux advmod root obj obl punct [SEP] know [SEP] and we do n't know them except for eating there .
reviews-034313-0003,naturalistic_data_review,He cross examined witnesses relentlessly and had them break down and tell the truth .,9,have,cc conj obj xcomp,cc conj obj xcomp [SEP] have [SEP] He cross examined witnesses relentlessly and had them break down and tell the truth .
reviews-134622-0004,naturalistic_data_review,Very glad that we went with them .,7,go,mark nsubj ccomp obl,mark nsubj ccomp obl [SEP] go [SEP] Very glad that we went with them .
reviews-194153-0001,naturalistic_data_review,"Barb does an AMAZING JOB , she is always learning new things on how to use her hands and body , to give every person an AWESOME MASSAGE , CALL TODAY AND SCHEDULE YOU MUST SEE HER , YOU WILL FALL IN LOVE SHE IS THE BEST OF THE BEST !",7,schedule,cc conj,"cc conj [SEP] schedule [SEP] Barb does an AMAZING JOB , she is always learning new things on how to use her hands and body , to give every person an AWESOME MASSAGE , CALL TODAY AND SCHEDULE YOU MUST SEE HER , YOU WILL FALL IN LOVE SHE IS THE BEST OF THE BEST !"
reviews-169083-0003,naturalistic_data_review,"Yes , we had to wait , but ER is a triage system that takes the most life threatening cases first .",7,wait,mark xcomp,"mark xcomp [SEP] wait [SEP] Yes , we had to wait , but ER is a triage system that takes the most life threatening cases first ."
reviews-133981-0002,naturalistic_data_review,"Yeah , this complex is not very good .",0,be,cop,"cop [SEP] be [SEP] Yeah , this complex is not very good ."
reviews-121556-0005,naturalistic_data_review,"I got highlights , haircut , and a blowdry .",8,get,nsubj root obj punct,"nsubj root obj punct [SEP] get [SEP] I got highlights , haircut , and a blowdry ."
reviews-110441-0009,naturalistic_data_review,"After looking at the menu and seeing the new menu items they had , we knew we were in for a treat !",8,have,nsubj acl,"nsubj acl [SEP] have [SEP] After looking at the menu and seeing the new menu items they had , we knew we were in for a treat !"
reviews-083459-0004,naturalistic_data_review,Claimed he was too busy for two test drives .,0,be,cop,cop [SEP] be [SEP] Claimed he was too busy for two test drives .
reviews-290594-0003,naturalistic_data_review,"I 'd probably be more inclined to board my two dogs here , seeing that they do n't just take every dog coming in .",4,come,acl advmod,"acl advmod [SEP] come [SEP] I 'd probably be more inclined to board my two dogs here , seeing that they do n't just take every dog coming in ."
reviews-160073-0003,naturalistic_data_review,Well it took us a while to find one that we liked .,8,like,obj nsubj acl,obj nsubj acl [SEP] like [SEP] Well it took us a while to find one that we liked .
reviews-275595-0002,naturalistic_data_review,this dentist want to pull the tooth out always .. always wants to do the cheapest for his benefit .. not unless he knows you .,8,want,nsubj root xcomp advmod punct parataxis parataxis,nsubj root xcomp advmod punct parataxis parataxis [SEP] want [SEP] this dentist want to pull the tooth out always .. always wants to do the cheapest for his benefit .. not unless he knows you .
reviews-162422-0006,naturalistic_data_review,I asked if this hotel had smoking rooms .,8,have,mark nsubj advcl obj,mark nsubj advcl obj [SEP] have [SEP] I asked if this hotel had smoking rooms .
reviews-248616-0001,naturalistic_data_review,Took a laptop in for a video cable to be replaced .,1,took,root obj advmod advcl punct,root obj advmod advcl punct [SEP] took [SEP] Took a laptop in for a video cable to be replaced .
reviews-148971-0001,naturalistic_data_review,Dr. Strzalka at Flagship CVTS is not a good doctor,0,be,cop,cop [SEP] be [SEP] Dr. Strzalka at Flagship CVTS is not a good doctor
reviews-319816-0003,naturalistic_data_review,I brought my car in on a Sunday to replace a shredded tire .,8,replace,mark advcl obj,mark advcl obj [SEP] replace [SEP] I brought my car in on a Sunday to replace a shredded tire .
reviews-024385-0006,naturalistic_data_review,"I 'm hoping the bakers continue to do their baking out of another place , because it would be a shame not to have these cakes any longer .",8,continue,nsubj ccomp xcomp,"nsubj ccomp xcomp [SEP] continue [SEP] I 'm hoping the bakers continue to do their baking out of another place , because it would be a shame not to have these cakes any longer ."
reviews-263909-0004,naturalistic_data_review,Had it fixed within a few days ( had to order a part ) .,8,order,mark xcomp obj,mark xcomp obj [SEP] order [SEP] Had it fixed within a few days ( had to order a part ) .
reviews-090643-0004,naturalistic_data_review,I 've also sent over a number of friends to use the services here and everyone is extraordinarily pleased !,1,send,nsubj aux advmod root advmod obj advcl conj punct,nsubj aux advmod root advmod obj advcl conj punct [SEP] send [SEP] I 've also sent over a number of friends to use the services here and everyone is extraordinarily pleased !
reviews-363685-0004,naturalistic_data_review,"They had a room with a $ 99 rate , which I booked .",8,have,nsubj root obj punct,"nsubj root obj punct [SEP] have [SEP] They had a room with a $ 99 rate , which I booked ."
reviews-252791-0002,naturalistic_data_review,"I was very upset when I went to Mother Plucker , they had NO FEATHERS and the quality is TERRIBLE .",8,have,punct nsubj conj obj,"punct nsubj conj obj [SEP] have [SEP] I was very upset when I went to Mother Plucker , they had NO FEATHERS and the quality is TERRIBLE ."
reviews-389298-0004,naturalistic_data_review,I highly recommend Garage Pros to my friends .,1,recommend,nsubj advmod root obj obl punct,nsubj advmod root obj obl punct [SEP] recommend [SEP] I highly recommend Garage Pros to my friends .
reviews-354474-0003,naturalistic_data_review,They walked me through all the steps involved in the the installation project so that there were no surprises .,1,walk,nsubj root obj obl advcl punct,nsubj root obj obl advcl punct [SEP] walk [SEP] They walked me through all the steps involved in the the installation project so that there were no surprises .
reviews-135800-0008,naturalistic_data_review,"They "" finished "" the work and told me the car was ready .",8,finish,nsubj punct root punct obj conj punct,"nsubj punct root punct obj conj punct [SEP] finish [SEP] They "" finished "" the work and told me the car was ready ."
reviews-074896-0004,naturalistic_data_review,Tiffany is fabulous !,0,be,cop,cop [SEP] be [SEP] Tiffany is fabulous !
reviews-359433-0002,naturalistic_data_review,We have used them for plumbing & A / C and they are affordable and get the work done right .,9,get,cc conj obj xcomp,cc conj obj xcomp [SEP] get [SEP] We have used them for plumbing & A / C and they are affordable and get the work done right .
reviews-165143-0006,naturalistic_data_review,Personally I recommend you take your money elsewhere,2,recommend,advmod nsubj root ccomp,advmod nsubj root ccomp [SEP] recommend [SEP] Personally I recommend you take your money elsewhere
reviews-343813-0004,naturalistic_data_review,Told that they had plenty .,8,tell,root ccomp punct,root ccomp punct [SEP] tell [SEP] Told that they had plenty .
reviews-345455-0004,naturalistic_data_review,The staff was very helpful and gave me exactly what I needed for my first time ballerina .,0,be,cop,cop [SEP] be [SEP] The staff was very helpful and gave me exactly what I needed for my first time ballerina .
reviews-030126-0005,naturalistic_data_review,"The staff and the Principal are rediculous , they do n't listen to any input , and they make up rediculous rules ( They banned backpacks , because a teacher TRIPPED OVER a student 's ) .",8,ban,punct nsubj parataxis obj punct advcl punct,"punct nsubj parataxis obj punct advcl punct [SEP] ban [SEP] The staff and the Principal are rediculous , they do n't listen to any input , and they make up rediculous rules ( They banned backpacks , because a teacher TRIPPED OVER a student 's ) ."
reviews-278775-0009,naturalistic_data_review,"We are absolutely confident that Stuart 's ethical and focused strategies will see these trends continue to grow , and our business will reap the rewards of this program .",8,see,mark nsubj aux ccomp ccomp conj,"mark nsubj aux ccomp ccomp conj [SEP] see [SEP] We are absolutely confident that Stuart 's ethical and focused strategies will see these trends continue to grow , and our business will reap the rewards of this program ."
reviews-268952-0003,naturalistic_data_review,Dr. Stiefvater has always been very professional and helpful .,0,be,cop,cop [SEP] be [SEP] Dr. Stiefvater has always been very professional and helpful .
reviews-221664-0007,naturalistic_data_review,There 's no excuse for that kind of estimate .,3,be,expl root nsubj punct,expl root nsubj punct [SEP] be [SEP] There 's no excuse for that kind of estimate .
reviews-119026-0001,naturalistic_data_review,"Anna Marie and Govind are very sweet people , and the minute you steep into their school , the calm loving atmosphere takes over , and tension and worries stay outside in the street , whether or not you pick them up again after class is probably a question of practice .",4,steep,nsubj acl,"nsubj acl [SEP] steep [SEP] Anna Marie and Govind are very sweet people , and the minute you steep into their school , the calm loving atmosphere takes over , and tension and worries stay outside in the street , whether or not you pick them up again after class is probably a question of practice ."
reviews-333243-0006,naturalistic_data_review,"Asked why , Rod simply told me that he had to research how to do the amendment ( it was an amended to show that I had purchased a home - nothing out of the ordinary , one would think ) and that took time to figure out .",7,think,nsubj aux parataxis,"nsubj aux parataxis [SEP] think [SEP] Asked why , Rod simply told me that he had to research how to do the amendment ( it was an amended to show that I had purchased a home - nothing out of the ordinary , one would think ) and that took time to figure out ."
reviews-326649-0007,naturalistic_data_review,Midas has the most high tech equipment in town & I guarantee you if they told you it was electrical then in deed it s electrical !,2,guarantee,cc nsubj conj obj ccomp,cc nsubj conj obj ccomp [SEP] guarantee [SEP] Midas has the most high tech equipment in town & I guarantee you if they told you it was electrical then in deed it s electrical !
reviews-080854-0002,naturalistic_data_review,Great job master keying our building .,8,key,obl,obl [SEP] key [SEP] Great job master keying our building .
reviews-255261-0008,naturalistic_data_review,God was pleased with that one !,0,be,cop,cop [SEP] be [SEP] God was pleased with that one !
reviews-308297-0003,naturalistic_data_review,"They offer a good portions at a great price , it 's enough food to fill you up , but you do n't ever feel like you ate too much .",8,offer,nsubj root obj obl punct parataxis conj punct,"nsubj root obj obl punct parataxis conj punct [SEP] offer [SEP] They offer a good portions at a great price , it 's enough food to fill you up , but you do n't ever feel like you ate too much ."
reviews-374000-0004,naturalistic_data_review,I was there when they did a free raffle in August and I won a hard drive !,8,win,cc nsubj conj obj,cc nsubj conj obj [SEP] win [SEP] I was there when they did a free raffle in August and I won a hard drive !
reviews-118718-0004,naturalistic_data_review,They were accomdating with my scheduled and work with my insurance to get payment for the surgery .,7,work,cc conj obl advcl,cc conj obl advcl [SEP] work [SEP] They were accomdating with my scheduled and work with my insurance to get payment for the surgery .
reviews-154157-0005,naturalistic_data_review,Going back to have some lab coats done this weekend !,9,have,mark advcl obj xcomp,mark advcl obj xcomp [SEP] have [SEP] Going back to have some lab coats done this weekend !
reviews-117115-0009,naturalistic_data_review,"I called Home - Excel the next day to order a replacement screen for the window , and was happily surprised when they said that they were n't even going to charge me for the replacement screen ... that it would be covered under their guarentee .",6,cover,mark nsubj,"mark nsubj [SEP] cover [SEP] I called Home - Excel the next day to order a replacement screen for the window , and was happily surprised when they said that they were n't even going to charge me for the replacement screen ... that it would be covered under their guarentee ."
reviews-048363-0003,naturalistic_data_review,"Unfortunately , a family emergency required me to conquer this fear .",9,require,advmod punct nsubj root obj xcomp punct,"advmod punct nsubj root obj xcomp punct [SEP] require [SEP] Unfortunately , a family emergency required me to conquer this fear ."
reviews-121556-0002,naturalistic_data_review,"I have lived in the UTC La Jolla area for many years , and I never new this salon was here until a friend reffered me to see Holly here .",2,reffere,mark nsubj advcl obj advcl,"mark nsubj advcl obj advcl [SEP] reffere [SEP] I have lived in the UTC La Jolla area for many years , and I never new this salon was here until a friend reffered me to see Holly here ."
reviews-108338-0004,naturalistic_data_review,"The outward appearance makes you think this place is nice , but everything inside is cheap cheap cheap .",0,be,cop,"cop [SEP] be [SEP] The outward appearance makes you think this place is nice , but everything inside is cheap cheap cheap ."
reviews-359014-0005,naturalistic_data_review,I have nothing but fantastic things to say .,8,have,nsubj root obj punct,nsubj root obj punct [SEP] have [SEP] I have nothing but fantastic things to say .
reviews-331662-0005,naturalistic_data_review,"They always ask if you have meat in your dish , ( for vegetarians like me ) , they scrub an area of the grill and use separate utensils to cook .",8,scrub,nsubj parataxis obj conj,"nsubj parataxis obj conj [SEP] scrub [SEP] They always ask if you have meat in your dish , ( for vegetarians like me ) , they scrub an area of the grill and use separate utensils to cook ."
reviews-305187-0006,naturalistic_data_review,"I was feeling the need for some fish so I had the salmon which was very good but the steaks looked amazing and if I am in town again , I 'll definitely order a steak .",8,feel,nsubj aux root obj parataxis conj conj punct,"nsubj aux root obj parataxis conj conj punct [SEP] feel [SEP] I was feeling the need for some fish so I had the salmon which was very good but the steaks looked amazing and if I am in town again , I 'll definitely order a steak ."
reviews-095040-0005,naturalistic_data_review,We would highly recommend Stephanie to anyone looking for a home in the Yampa Valley .,1,recommend,nsubj aux advmod root obj obl punct,nsubj aux advmod root obj obl punct [SEP] recommend [SEP] We would highly recommend Stephanie to anyone looking for a home in the Yampa Valley .
reviews-146820-0002,naturalistic_data_review,I just had the best experience at this Kal Tire location .,8,have,nsubj advmod root obj obl punct,nsubj advmod root obj obl punct [SEP] have [SEP] I just had the best experience at this Kal Tire location .
reviews-036133-0014,naturalistic_data_review,I waited .,7,wait,nsubj root punct,nsubj root punct [SEP] wait [SEP] I waited .
reviews-026883-0005,naturalistic_data_review,"On August 21st , 2009 I ordered furniture from Hickory Furniture Mart and contracted for HDS to deliver it .",8,deliver,mark nsubj mark advcl obj,"mark nsubj mark advcl obj [SEP] deliver [SEP] On August 21st , 2009 I ordered furniture from Hickory Furniture Mart and contracted for HDS to deliver it ."
reviews-156953-0007,naturalistic_data_review,It was the first time i had left a salon with my hair curly .,0,be,cop,cop [SEP] be [SEP] It was the first time i had left a salon with my hair curly .
reviews-330966-0004,naturalistic_data_review,"I have never considered this a real problem as I travel without kids and can fend for myself , but when I had to listen to a ( non-violent ) domestic fight that lasted from 1 AM to 5 AM during my last stay and I found out that the front desk was unmanned during night hours , my choice was to either waste tax payers money by calling for a yet another police dispatch to this hotel , or just get over it .",0,be,cop,"cop [SEP] be [SEP] I have never considered this a real problem as I travel without kids and can fend for myself , but when I had to listen to a ( non-violent ) domestic fight that lasted from 1 AM to 5 AM during my last stay and I found out that the front desk was unmanned during night hours , my choice was to either waste tax payers money by calling for a yet another police dispatch to this hotel , or just get over it ."
reviews-091704-0005,naturalistic_data_review,There could have ( hopefully does n't have ) major damage to the engine .,8,have,punct advmod aux advmod parataxis punct,punct advmod aux advmod parataxis punct [SEP] have [SEP] There could have ( hopefully does n't have ) major damage to the engine .
reviews-315763-0008,naturalistic_data_review,"The well - equipped , clean gym is a plus !",0,be,cop,"cop [SEP] be [SEP] The well - equipped , clean gym is a plus !"
reviews-133981-0004,naturalistic_data_review,Both bathrooms look like they were flooded and the wood cabinets are thrashed at the bottom and they slapped some pieces of wood over to try to cover it up .,8,cover,mark xcomp obj compound,mark xcomp obj compound [SEP] cover [SEP] Both bathrooms look like they were flooded and the wood cabinets are thrashed at the bottom and they slapped some pieces of wood over to try to cover it up .
reviews-275919-0012,naturalistic_data_review,"On call , it takes a day to get our issues resolved .",9,get,mark csubj obj xcomp,"mark csubj obj xcomp [SEP] get [SEP] On call , it takes a day to get our issues resolved ."
reviews-134622-0001,naturalistic_data_review,We just got our sunroom built by Patio World and can say that I 'm extremely happy with the whole thing .,0,be,cop,cop [SEP] be [SEP] We just got our sunroom built by Patio World and can say that I 'm extremely happy with the whole thing .
reviews-031113-0003,naturalistic_data_review,"The pizza is usually pretty good , the only bad one we got was on a Friday night and it just needed to be cooked a little more , but it was still good .",0,be,cop,"cop [SEP] be [SEP] The pizza is usually pretty good , the only bad one we got was on a Friday night and it just needed to be cooked a little more , but it was still good ."
reviews-255261-0009,naturalistic_data_review,"It 's historical for Sf , so when your aunte comes for a visit , take her there .",0,be,cop,"cop [SEP] be [SEP] It 's historical for Sf , so when your aunte comes for a visit , take her there ."
reviews-326439-0005,naturalistic_data_review,I HATED SUSHI BEFORE BUT NOW I CA NT STOP EATTING IT !!!!!!!,8,stop,cc advmod nsubj aux advmod conj xcomp,cc advmod nsubj aux advmod conj xcomp [SEP] stop [SEP] I HATED SUSHI BEFORE BUT NOW I CA NT STOP EATTING IT !!!!!!!
reviews-043020-0008,naturalistic_data_review,We then called the office and the man we spoke to said he 'd send someone out to look at it but could n't promise when - two weeks came and went and we heard nothing .,4,speak,nsubj acl,nsubj acl [SEP] speak [SEP] We then called the office and the man we spoke to said he 'd send someone out to look at it but could n't promise when - two weeks came and went and we heard nothing .
reviews-006970-0005,naturalistic_data_review,They gave me the run around and missing paperwork only to call back to tell me someone else wanted her and I would need to come in and put down a deposit .,4,call,advmod mark advcl compound,advmod mark advcl compound [SEP] call [SEP] They gave me the run around and missing paperwork only to call back to tell me someone else wanted her and I would need to come in and put down a deposit .
reviews-229480-0001,naturalistic_data_review,you 'll love it,8,love,nsubj aux root obj,nsubj aux root obj [SEP] love [SEP] you 'll love it
reviews-153921-0003,naturalistic_data_review,The food is always fresh and delicious .,0,be,cop,cop [SEP] be [SEP] The food is always fresh and delicious .
reviews-263870-0010,naturalistic_data_review,"The U of R is also recommended , too !",6,recommend,nsubj,"nsubj [SEP] recommend [SEP] The U of R is also recommended , too !"
reviews-148971-0015,naturalistic_data_review,"Even my PA i went to the other day said "" it must by comforting to have gone to a heart surgeon like him who will do nothing for you "" .",4,go,mark aux csubj obl,"mark aux csubj obl [SEP] go [SEP] Even my PA i went to the other day said "" it must by comforting to have gone to a heart surgeon like him who will do nothing for you "" ."
reviews-270502-0003,naturalistic_data_review,"They interviewed me , gave me tests in the software I included on my resume , and placed me in a position that I kept for several years .",1,include,nsubj acl,"nsubj acl [SEP] include [SEP] They interviewed me , gave me tests in the software I included on my resume , and placed me in a position that I kept for several years ."
reviews-331662-0010,naturalistic_data_review,"Prices are reasonable , ( Kid s meals are around 4.99 ) and Wednesday's they have discount dinner prices , I believe .",0,be,cop,"cop [SEP] be [SEP] Prices are reasonable , ( Kid s meals are around 4.99 ) and Wednesday's they have discount dinner prices , I believe ."
reviews-126171-0006,naturalistic_data_review,They want to squeeze as much as they can from you even if you just got in a car accident !!!!,4,squeeze,mark xcomp advmod obl advcl,mark xcomp advmod obl advcl [SEP] squeeze [SEP] They want to squeeze as much as they can from you even if you just got in a car accident !!!!
reviews-006970-0001,naturalistic_data_review,Wife and I attempted to adopt a dog and was nothing but frustrating .,8,adopt,mark xcomp obj,mark xcomp obj [SEP] adopt [SEP] Wife and I attempted to adopt a dog and was nothing but frustrating .
reviews-036133-0017,naturalistic_data_review,I 've had to pester this new guy several times to ask when my table will arrive .,8,pester,mark xcomp obj obl,mark xcomp obj obl [SEP] pester [SEP] I 've had to pester this new guy several times to ask when my table will arrive .
reviews-085009-0003,naturalistic_data_review,"The work was completed within one week , and everything was cleaned up on completion .",6,complete,nsubj,"nsubj [SEP] complete [SEP] The work was completed within one week , and everything was cleaned up on completion ."
reviews-374604-0001,naturalistic_data_review,"I 've never felt the need to write a review or make a complaint before , but after the way I was spoken to by a member of staff at the kennels ( whose name I believe to be Mrs Closs ) I would now not recommend this business to anybody .",8,believe,punct obj nsubj acl,"punct obj nsubj acl [SEP] believe [SEP] I 've never felt the need to write a review or make a complaint before , but after the way I was spoken to by a member of staff at the kennels ( whose name I believe to be Mrs Closs ) I would now not recommend this business to anybody ."
reviews-091704-0007,naturalistic_data_review,Once they realized their mistake they sent a mechanic and tow truck to my wife 's work and towed it back to fix it .,1,send,advcl nsubj root obj obl conj punct,advcl nsubj root obj obl conj punct [SEP] send [SEP] Once they realized their mistake they sent a mechanic and tow truck to my wife 's work and towed it back to fix it .
reviews-280663-0007,naturalistic_data_review,Having a team was the best because they kept the flow of the wedding going the whole time !,7,go,xcomp obl,xcomp obl [SEP] go [SEP] Having a team was the best because they kept the flow of the wedding going the whole time !
reviews-101398-0006,naturalistic_data_review,If you must go ask lots of questions about your selections since your expectations may as high as mine were .,8,ask,advcl root obj advcl punct,advcl root obj advcl punct [SEP] ask [SEP] If you must go ask lots of questions about your selections since your expectations may as high as mine were .
reviews-243799-0003,naturalistic_data_review,she did nt even let me finish a sentence without insulting me and telling me how i should have said it !,8,insult,mark advcl obj conj,mark advcl obj conj [SEP] insult [SEP] she did nt even let me finish a sentence without insulting me and telling me how i should have said it !
reviews-133981-0004,naturalistic_data_review,Both bathrooms look like they were flooded and the wood cabinets are thrashed at the bottom and they slapped some pieces of wood over to try to cover it up .,8,try,mark advcl xcomp,mark advcl xcomp [SEP] try [SEP] Both bathrooms look like they were flooded and the wood cabinets are thrashed at the bottom and they slapped some pieces of wood over to try to cover it up .
reviews-086839-0008,naturalistic_data_review,"When we expressed our discontent to the manager ( that 's right , the manager ) , did he say he would return some money , did he say he would give a discount on our next visit , did he just say "" I 'm sorry "" .",0,be,cop,"cop [SEP] be [SEP] When we expressed our discontent to the manager ( that 's right , the manager ) , did he say he would return some money , did he say he would give a discount on our next visit , did he just say "" I 'm sorry "" ."
reviews-063963-0005,naturalistic_data_review,If you are really desperate for something to pass the time and are willing to shell out the best part of £ 30 for 2 two people then go for it .,8,go,advcl advmod root obl punct,advcl advmod root obl punct [SEP] go [SEP] If you are really desperate for something to pass the time and are willing to shell out the best part of £ 30 for 2 two people then go for it .
reviews-031113-0003,naturalistic_data_review,"The pizza is usually pretty good , the only bad one we got was on a Friday night and it just needed to be cooked a little more , but it was still good .",6,cook,mark aux,"mark aux [SEP] cook [SEP] The pizza is usually pretty good , the only bad one we got was on a Friday night and it just needed to be cooked a little more , but it was still good ."
reviews-086839-0006,naturalistic_data_review,"We went in for a third visit and they fixed it again , but this time when we picked up the car , the radio and clock did not work .",4,go,nsubj root advmod obl conj conj punct,"nsubj root advmod obl conj conj punct [SEP] go [SEP] We went in for a third visit and they fixed it again , but this time when we picked up the car , the radio and clock did not work ."
reviews-077298-0002,naturalistic_data_review,I 'm not interested in shopping in a place with people like her ... she refused to sell me the item at its marked price even after admitting they had made a mistake .,8,admit,advmod mark advcl ccomp,advmod mark advcl ccomp [SEP] admit [SEP] I 'm not interested in shopping in a place with people like her ... she refused to sell me the item at its marked price even after admitting they had made a mistake .
reviews-290594-0011,naturalistic_data_review,"You were clearly given another alternative by Second Home , to board him - which might have given your dog a chance to come and go from Second Home a couple times , getting used to the place and maybe facilitating another attempt to get into daycare later .",8,board,mark appos obj,"mark appos obj [SEP] board [SEP] You were clearly given another alternative by Second Home , to board him - which might have given your dog a chance to come and go from Second Home a couple times , getting used to the place and maybe facilitating another attempt to get into daycare later ."
reviews-288100-0005,naturalistic_data_review,"Also , I was promised to have my test results emailed to me , but it never happened , and after a few attempts to get Dr. Romanick on the phone to brief me on my condition , I finally gave up and went to a different doctor .",7,happen,punct cc nsubj advmod conj conj,"punct cc nsubj advmod conj conj [SEP] happen [SEP] Also , I was promised to have my test results emailed to me , but it never happened , and after a few attempts to get Dr. Romanick on the phone to brief me on my condition , I finally gave up and went to a different doctor ."
reviews-241108-0004,naturalistic_data_review,Did services I asked them NOT to do and was still charged .,8,do,root obj conj punct,root obj conj punct [SEP] do [SEP] Did services I asked them NOT to do and was still charged .
reviews-342811-0011,naturalistic_data_review,"A mid-afternoon "" fire drill "" was disruptive , putting everyone out of the hotel .",1,put,advcl obj obl,"advcl obj obl [SEP] put [SEP] A mid-afternoon "" fire drill "" was disruptive , putting everyone out of the hotel ."
reviews-371300-0007,naturalistic_data_review,"Plus the drinks are self service , have fun trying to negotiate the small cafeteria space to get your coffee , juice or water .",0,be,cop,"cop [SEP] be [SEP] Plus the drinks are self service , have fun trying to negotiate the small cafeteria space to get your coffee , juice or water ."
reviews-160073-0012,naturalistic_data_review,Their prices are extremely reasonable for the amount of food you receive .,0,be,cop,cop [SEP] be [SEP] Their prices are extremely reasonable for the amount of food you receive .
reviews-342807-0003,naturalistic_data_review,"So huge in fact , that Toronto slang is influenced by and has Jamaican references , and Jamaican beef patties are staples in my high school cafeteria .",6,influence,mark nsubj,"mark nsubj [SEP] influence [SEP] So huge in fact , that Toronto slang is influenced by and has Jamaican references , and Jamaican beef patties are staples in my high school cafeteria ."
reviews-319816-0011,naturalistic_data_review,"I would not have gone back , but I could n't find the particular tire they 'd used in stock anywhere else .",8,use,nsubj aux acl,"nsubj aux acl [SEP] use [SEP] I would not have gone back , but I could n't find the particular tire they 'd used in stock anywhere else ."
